step,loss,lr
25,0.6963757371902466,5.6179775280898885e-05
50,0.6812378811836243,0.00011235955056179777
75,0.5240285694599152,0.00016853932584269662
100,0.406718407869339,0.00019996966682847775
125,0.3479068785905838,0.0001996752686479582
150,0.323286337852478,0.00019906859460363307
175,0.35645305752754214,0.0001981515453641819
200,0.29935831725597384,0.000196926993982743
225,0.29456983029842376,0.0001953987768958326
250,0.30870897591114044,0.00019357168190404936
275,0.33230304896831514,0.00019145143317221927
300,0.35853282988071444,0.00018904467329597502
325,0.26928460896015166,0.00018635894249095412
350,0.2496543574333191,0.00018340265496981394
375,0.2687778782844543,0.00018018507258107364
400,0.3007913547754288,0.00017671627579237014
425,0.27046414971351623,0.00017300713210903604
450,0.27716021358966825,0.00016906926202694158
475,0.27153129696846007,0.00016491500262626847
500,0.26709735095500947,0.0001605573689202734
525,0.31845095098018644,0.0001560100130801333
550,0.2765019518136978,0.00015128718166361794
575,0.24778201758861543,0.0001464036709815896
600,0.2565858572721481,0.0001413747807421637
625,0.25128648936748504,0.00013621626611775965
650,0.2382679748535156,0.00013094428838521311
675,0.2518796771764755,0.00012557536429359055
700,0.23386845529079436,0.0001201263143183335
725,0.24261732041835785,0.00011461420996384848
750,0.20502202585339546,0.00010905632027964023
775,0.2237459033727646,0.00010347005775754968
800,0.21665427565574646,9.787292377959659e-05
825,0.21596271216869353,9.228245378733537e-05
850,0.23815221190452576,8.671616234450487e-05
875,0.20754849493503572,8.119148826508642e-05
900,0.1878478780388832,7.57257399786815e-05
925,0.2100444370508194,7.033604130437421e-05
950,0.19774486899375915,6.503927780296605e-05
975,0.20304751753807068,5.9852043875658195e-05
1000,0.20195504665374756,5.479059077491666e-05
1025,0.2200118550658226,4.987077569039922e-05
1050,0.21085642546415329,4.5108012069454644e-05
1075,0.22967673927545548,4.051722132783644e-05
1100,0.1994565510749817,3.611278610191804e-05
1125,0.2114775851368904,3.190850518886751e-05
1150,0.2012024337053299,2.791755031595096e-05
1175,0.20819773614406586,2.415242487440328e-05
1200,0.19098323106765747,2.0624924747150533e-05
1225,0.2218785274028778,1.734610135310788e-05
1250,0.2098289442062378,1.4326227023832928e-05
1275,0.20297108173370362,1.1574762821006768e-05
1300,0.18562941133975983,9.100328895568743e-06
1325,0.1886815071105957,6.910677481367622e-06
1350,0.1963245102763176,5.012668607938087e-06
1375,0.18887371867895125,3.412248608492974e-06
1400,0.2164382168650627,2.1144314904642195e-06
1425,0.19447112292051316,1.1232832269571725e-06
1450,0.19097155898809434,4.419090183324315e-07
1475,0.2007300627231598,7.24435638233989e-08
